"","x"
"1","AAK90512.2"
"2","AAK90510.2"
"3","AAK90511.2"
"4","AAK85859.2"
"5","AAK90424.2"
"6","AAK90864.1"
"7","AAL45971.2"
"8","AAK90866.2"
"9","AAK89296.2"
"10","AAK90661.1"
"11","AAK88917.1"
"12","AAK89500.2"
"13","AAK90639.1"
"14","AAK90865.1"
"15","AAK87910.1"
"16","AAK90657.2"
"17","AAK88814.1"
"18","AAK90531.2"
"19","AAK86229.2"
"20","AAK90869.2"
"21","AAK90660.2"
"22","AAL44840.1"
"23","AAK87676.1"
"24","AAK89388.1"
"25","AAK86469.2"
"26","AAL46174.1"
"27","AAK90425.1"
"28","AAK87745.1"
"29","AAK90664.2"
"30","AAK90885.2"
"31","AAK89267.2"
"32","AAK90423.1"
"33","AAK86018.1"
"34","AAK89677.2"
"35","AAK86317.2"
"36","AAK87905.2"
"37","AAK90323.1"
"38","AAK90659.1"
"39","AAK86538.1"
"40","AAK90656.2"
"41","AAK90638.1"
"42","AAK90868.2"
"43","AAK87576.1"
"44","AAK89509.1"
"45","AAK89286.2"
"46","AAK87498.1"
"47","AAK90867.1"
"48","AAK90846.1"
"49","AAK90057.2"
"50","AAK90319.1"
