"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YPL276W",731.192864218774,5.70655272673787,0.160252985412031,2.61009944711776e-278,8.54155044069285e-275
"YPL277C",1121.78507439818,1.87021344454324,0.0877221512010795,7.16113065399357e-103,6.69565716148399e-100
"YDR125C",2060.96883349999,1.1743542995327,0.0638090196249787,5.69355844768154e-78,1.86321700200378e-75
"YML128C",41373.8895483266,1.41684204736367,0.0803883167231224,2.69368127318788e-72,6.52968293815357e-70
"YPL275W",243.082496920905,4.85705450632888,0.280865774288175,1.56796426253427e-67,2.85064613841299e-65
"YCR091W",6959.46595920864,1.71588689648519,0.107472424794407,1.10455866472571e-59,1.47537478788362e-57
"YJL092W",2014.62784681773,1.22591794114318,0.0779229294546901,2.9329098188191e-58,3.55479532669833e-56
"YDL197C",3909.29273095502,1.07309445218611,0.0693661971078399,6.21826870226896e-56,6.56428526715328e-54
"YJR039W",2612.7097422072,1.21879712884854,0.0798929280792902,5.16452471318457e-55,5.20027911504508e-53
"YOR389W",1487.42857116311,1.32949297322228,0.0874370417127738,6.35281858984917e-55,6.29987843493376e-53
"YPL278C",815.510429907462,1.38100997152821,0.0920568083361604,1.25230958770075e-53,1.1709094645002e-51
"YNL294C",4047.90487940869,1.29569166928893,0.086412151672348,1.76608389879498e-53,1.62803086163565e-51
"YHL008C",1808.97840568097,1.26187868186471,0.08591908248428,2.0504282718784e-51,1.76579645255844e-49
"YJR036C",1155.45373900575,1.32142178976056,0.090698793677182,8.83933619938531e-51,7.05529944207035e-49
"YDR074W",33180.2155284021,1.44330858111159,0.099326766818853,1.35996668707604e-50,1.0724074658931e-48
"YLR152C",3623.18606085835,1.17110986536517,0.0813660110420483,2.78780209746673e-49,2.14660761504938e-47
"YJL091C",763.206377382196,1.83062086755147,0.127685375643507,9.30033581360643e-49,6.83940425843304e-47
"YPL123C",3122.61967266786,1.30891867563394,0.0922298247421545,2.16986754889132e-48,1.56063550631799e-46
"YLL023C",4866.22108651196,1.01608215398551,0.071379561024231,1.03114053835463e-47,6.95754105518664e-46
"YPL230W",5684.56187862414,1.05239470614115,0.0742179389471042,1.64733738214427e-47,1.08907304708427e-45
"YOL049W",3688.71160363296,1.22912498628624,0.0875653322798144,2.9856777872018e-47,1.91580991345449e-45
"YPR184W",49793.4862694378,1.08568728393255,0.0772361539911082,7.03820701445323e-47,4.42933316438427e-45
"YPL186C",3586.112353551,1.94499000727506,0.138944772703959,1.41184506002106e-46,8.71747728097908e-45
"YPL203W",9726.38587983438,1.03172098457067,0.0740092443991162,5.81247543376864e-46,3.45842288309234e-44
"YJL084C",1891.75807907051,1.05462542448263,0.0764329544951812,3.45804905801163e-45,1.98534483199001e-43
"YLR219W",8706.35328420965,1.01413286016176,0.0748589630269326,1.54694538564101e-43,8.16512705566161e-42
"YPR019W",1899.38237148883,1.04402183616464,0.0778451871701214,7.49798168697674e-43,3.83392891728615e-41
"YML130C",14983.3342311967,1.69387359784804,0.128180310704516,2.99267289879299e-42,1.49519420783207e-40
"YPL164C",1445.24662706903,1.0698065212021,0.0823253954085811,1.50982782016049e-40,6.86237714093779e-39
"YJL083W",2796.17986293831,1.16318390095351,0.0900139791844339,1.76407345005772e-40,7.96266257284676e-39
"YNL144C",7686.65588164124,1.10560427404104,0.0856151573749832,3.1846890200688e-40,1.40836416461826e-38
"YMR219W",1681.23738097673,1.00593150659904,0.0793104841088575,1.468536730064e-38,5.82519569592054e-37
"YOL052C-A",19631.1705245513,1.49828224013123,0.120747571201523,4.5919617387494e-38,1.70763577159743e-36
"YBR158W",1741.14748519114,1.4996398959986,0.121428969258357,9.54049284156192e-38,3.41215987147666e-36
"YJR004C",31409.0747687045,1.60038127761778,0.130260727493792,2.92609879611133e-37,1.0132971756904e-35
"YOR386W",1551.08683163919,1.42417380659434,0.117126723104553,9.07502063878656e-37,3.0304086775948e-35
"YIL068C",1313.7599577183,1.22064204617357,0.101298180091395,6.7290046485088e-36,2.14835782558488e-34
"YNL194C",6228.66611393324,1.14232640507983,0.0944852351974068,7.41598005610975e-36,2.35619366345817e-34
"YPR117W",2448.42779041944,1.03671573547984,0.0856077629336688,1.43577997194167e-35,4.47484757921822e-34
"YGL093W",2090.92559206925,1.09590416799969,0.0912064226889704,2.70183776595115e-35,8.30212590523486e-34
"YBR138C",1899.01172236953,1.11686574064137,0.0933444614742164,4.16536343257767e-35,1.25056438835876e-33
"YCL064C",479.494838269374,1.45583703089466,0.123091460184413,5.11993176980121e-35,1.52317970151586e-33
"YLR410W-B",1408.86629785579,1.7322545379251,0.146215369204469,1.00698946878026e-34,2.94229735409232e-33
"YCR023C",4292.08603994972,1.30875116420458,0.11141732565798,1.61682199952325e-34,4.64127192407003e-33
"YJL128C",4988.66216654106,1.02939403303321,0.0885013591580465,4.66381406385754e-33,1.22589008224689e-31
"YJR096W",24511.6632343741,1.18009404614463,0.103253978132796,1.39161417621708e-32,3.47637968829801e-31
"YOL048C",1411.62398487266,1.19927243106923,0.10678599687464,1.16967154893483e-31,2.78381828646489e-30
"YOR173W",11603.0203468896,1.03092815052171,0.0921868106028619,7.94353193535767e-31,1.78661225144041e-29
"YDL204W",9739.00042622394,1.43040680529297,0.130492592350093,1.05203854718536e-30,2.33409908180616e-29
"YPR185W",1661.49285366088,1.22233170180954,0.112061008162993,3.69373778424964e-30,7.90049470520063e-29
"YHR018C",6568.91698165305,1.03222745655413,0.0950504098914341,2.8453004893295e-29,5.67758893373829e-28
"YGR161C-D",3622.26233634114,1.44301185580473,0.135669765370992,3.66956358469334e-29,7.27796777630847e-28
"YIR042C",286.858494996392,1.70842431537804,0.160060945158538,5.19399464423566e-29,1.01780523791983e-27
"YLR178C",18143.9975630995,1.21232720967531,0.1138033036658,6.32656829352011e-29,1.22145691684629e-27
"YPR008W",4029.19648357148,1.04269902436748,0.0973344887405621,1.2890761739056e-28,2.45261731343377e-27
"YIR039C",2303.04042361937,1.26445397606173,0.120846639939015,3.50906432197162e-28,6.46952844712795e-27
"YLR354C",30233.1699796015,1.29099545711125,0.12585290918885,2.65866926083532e-27,4.61564729765708e-26
"YDR214W",8371.24405539427,1.0995380364,0.106014001094477,2.97589449179817e-27,5.13911067251161e-26
"YJL131C",1166.91309819885,1.0929501018034,0.107798702221969,3.50224474008739e-26,5.536761310114e-25
"YKL222C",611.169183409185,1.23525107763193,0.123728782894751,5.90005807150969e-26,9.15068248294572e-25
"YKL165C",3387.11464690865,1.37696421288235,0.139530271948898,1.08755427443801e-25,1.65151803392037e-24
"YDR007W",3889.74805439579,1.2531830864316,0.127202050577529,1.99686610807763e-25,2.95022317773546e-24
"YBR012W-B",2752.36333690505,1.1069348171985,0.112713252619898,7.68581762157719e-25,1.06125899437179e-23
"YOR267C",8471.39315822914,1.02913099674876,0.104779086640237,1.46746230376603e-24,1.98851775945108e-23
"YJL073W",1593.77439621257,1.23479915835183,0.129589117116673,5.29889970116749e-24,6.99219728712525e-23
"YOR192C-B",1982.42751163815,1.41584854580412,0.150716917473334,1.06959716153465e-23,1.35406449173004e-22
"YFL002W-A",9404.82802930846,1.35855362058957,0.14580025592954,2.38407188181004e-23,2.93303580196367e-22
"YGR161W-B",9404.82802930846,1.35855362058957,0.14580025592954,2.38407188181004e-23,2.93303580196367e-22
"YPL166W",650.272679808045,1.08823145424959,0.115559002733612,4.54520013761209e-23,5.50895090753169e-22
