;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
YOR388C;15248.44806;5.999881575;0.11202691;53.55750282;0;0
YPL276W;753.4645153;5.71266331;0.159175396;35.88911015;4.52E-282;1.48E-278
YPL277C;1149.537304;1.895633895;0.087145645;21.75248005;6.54E-105;5.35E-102
YML100W;40764.22845;1.82702664;0.089967247;20.30768645;1.10E-91;6.00E-89
YLR258W;35194.45975;2.186405464;0.109428527;19.98021466;8.19E-89;3.57E-86
YER054C;8008.951517;1.498157907;0.075031395;19.96708061;1.06E-88;4.36E-86
YBR117C;4750.121614;1.274214186;0.067187459;18.96505996;3.32E-80;1.08E-77
YEL011W;22242.38936;1.934855486;0.103172793;18.75354372;1.81E-78;5.39E-76
YDR125C;2060.484872;1.1785677;0.063632746;18.52140251;1.39E-76;3.78E-74
YML128C;41342.72643;1.429844966;0.078291329;18.26313325;1.63E-74;3.94E-72
YGL094C;1380.479283;1.317992059;0.072386916;18.20760072;4.49E-74;1.01E-71
YOR389W;1483.140753;1.387283105;0.079186453;17.51919738;1.02E-68;1.97E-66
YMR169C;8996.167428;2.053725033;0.120136806;17.0948862;1.62E-65;2.65E-63
YMR320W;1105.405255;1.869022467;0.111716603;16.73003307;7.92E-63;1.10E-60
YMR261C;12156.9958;1.360938477;0.081422674;16.71449018;1.03E-62;1.40E-60
YCR091W;6955.348755;1.7419281;0.104847673;16.61389378;5.53E-62;7.38E-60
YBR126C;42057.09705;1.359274309;0.082556584;16.46475952;6.57E-61;8.43E-59
YMR210W;4775.186284;1.000958837;0.061470725;16.28350455;1.29E-59;1.63E-57
YBR139W;4858.04814;1.447470739;0.089919927;16.09733009;2.66E-58;3.17E-56
YDL197C;3916.479421;1.084609424;0.067488992;16.07090865;4.08E-58;4.68E-56
YPL006W;5058.357854;1.253284184;0.078683722;15.92812536;4.04E-57;4.41E-55
YHL008C;1594.071262;1.297425377;0.081613053;15.8972778;6.62E-57;7.10E-55
YNL294C;4036.309239;1.31944677;0.083261388;15.84704266;1.47E-56;1.53E-54
YML042W;9361.537436;1.105547725;0.070157789;15.75801822;6.05E-56;6.00E-54
YMR103C;3247.433211;1.108851681;0.071543347;15.49901871;3.52E-54;3.29E-52
YEL041W;1872.348677;1.753178408;0.114060133;15.37065016;2.58E-53;2.31E-51
YGR099W;1161.094119;1.119108678;0.072894948;15.35234904;3.42E-53;3.02E-51
YDR074W;33169.21988;1.465456395;0.09636329;15.20762106;3.15E-52;2.67E-50
YPL278C;733.1778844;1.444900543;0.095379311;15.14899322;7.69E-52;6.14E-50
YJR036C;1152.360126;1.338800379;0.0885605;15.11735346;1.24E-51;9.81E-50
YGR256W;23023.26006;1.411696423;0.095000908;14.85982024;6.01E-50;4.37E-48
YLL023C;4866.509991;1.036702784;0.069946402;14.82138825;1.07E-49;7.58E-48
YPL123C;3121.773629;1.33299954;0.090189709;14.77995175;1.97E-49;1.37E-47
YLR177W;14374.10482;1.209435862;0.082205883;14.71227871;5.38E-49;3.70E-47
YOL049W;3686.894271;1.251235792;0.085051118;14.71157378;5.43E-49;3.70E-47
YML004C;29725.19367;1.018032155;0.069955399;14.55258876;5.62E-48;3.72E-46
YPL203W;9758.472668;1.043770296;0.072421291;14.41247839;4.32E-47;2.72E-45
YPL230W;5684.376482;1.062965705;0.073806326;14.40209489;5.02E-47;3.10E-45
YGR250C;15945.79169;1.628446653;0.114707159;14.19655635;9.62E-46;5.62E-44
YHR159W;2009.837998;1.038038758;0.073599299;14.10392189;3.59E-45;2.03E-43
YML130C;14974.95264;1.731077677;0.124107393;13.94822368;3.23E-44;1.77E-42
YJR033C;3104.684216;1.111614426;0.079907205;13.91131652;5.41E-44;2.95E-42
YJL084C;1892.201933;1.069639968;0.076918107;13.906218;5.81E-44;3.14E-42
YNL144C;7693.220384;1.122893055;0.081782067;13.730309;6.68E-43;3.44E-41
YPL275W;272.9500805;4.971947165;0.362544521;13.71403201;8.37E-43;4.24E-41
YPL164C;1446.912615;1.086133766;0.080139827;13.55298369;7.61E-42;3.69E-40
YJL083W;2799.395914;1.188919622;0.088963674;13.36410204;9.80E-41;4.39E-39
YMR219W;1680.801814;1.020222603;0.076994872;13.25052664;4.48E-40;1.88E-38
YOR049C;2331.886707;1.220111089;0.092088037;13.24939846;4.55E-40;1.90E-38
YOR120W;7741.306872;1.287161791;0.097184702;13.24448977;4.86E-40;2.01E-38
YLR429W;9864.113259;1.398406068;0.105661431;13.23478263;5.53E-40;2.27E-38
YBL088C;1698.017306;1.124781784;0.08507503;13.22105654;6.63E-40;2.71E-38
YCL052C;4793.876584;1.333492197;0.101697809;13.11230013;2.80E-39;1.10E-37
YJR004C;31488.41715;1.637361076;0.126382595;12.95558993;2.18E-38;7.94E-37
YPR117W;2450.660147;1.054565293;0.081974948;12.86448255;7.13E-38;2.47E-36
YIL068C;1310.556361;1.237930328;0.096677436;12.80474928;1.54E-37;5.26E-36
YGL093W;2089.412684;1.116908404;0.087697597;12.7359066;3.73E-37;1.23E-35
YNL194C;6233.395044;1.175545721;0.092813253;12.66570977;9.16E-37;2.92E-35
YCL064C;479.1066322;1.488052263;0.118003464;12.61024226;1.85E-36;5.78E-35
YNR068C;851.7536306;1.382059832;0.109977326;12.56677061;3.22E-36;9.93E-35
YDR124W;1222.80997;1.077842016;0.086114464;12.51638767;6.07E-36;1.85E-34
YGR254W;152892.1751;1.607355734;0.129565589;12.40573017;2.43E-35;7.11E-34
YOL052C-A;19627.07062;1.482746393;0.120197339;12.33593356;5.80E-35;1.64E-33
YBR138C;1898.334442;1.134552779;0.092183398;12.30756088;8.25E-35;2.32E-33
YAL023C;4268.802675;1.043726947;0.085464119;12.21245779;2.67E-34;7.30E-33
YPL165C;1307.935537;1.125847471;0.092690549;12.14630276;6.00E-34;1.60E-32
YBR092C;7074.352139;1.122886624;0.092720242;12.11047988;9.29E-34;2.45E-32
YOL048C;1410.903934;1.233642565;0.10341405;11.92915817;8.34E-33;2.06E-31
YJR096W;24531.70338;1.216993818;0.103121753;11.80152371;3.83E-32;9.25E-31
YLR086W;1172.053471;1.247862066;0.105796161;11.79496542;4.14E-32;9.95E-31
YDL204W;9755.372402;1.477587774;0.126949652;11.63916366;2.61E-31;5.82E-30
YLR410W-B;1398.078511;1.592534546;0.136954945;11.62816385;2.96E-31;6.60E-30
YPR185W;1662.950275;1.256630452;0.10816301;11.61793156;3.34E-31;7.41E-30
YJR151C;1255.158782;1.452379793;0.127273352;11.41149953;3.66E-30;7.63E-29
YLR178C;18447.61347;1.261194101;0.110571968;11.40609257;3.90E-30;8.07E-29
YHR018C;6567.602826;1.063581652;0.09335211;11.39322565;4.52E-30;9.27E-29
YPR008W;4030.253617;1.070903497;0.094059878;11.3853379;4.95E-30;1.01E-28
YIR039C;2146.617837;1.297418607;0.117499021;11.04195248;2.40E-28;4.39E-27
YNR069C;1227.388332;1.40549418;0.128173306;10.96557639;5.59E-28;1.00E-26
YGR161C-D;3756.228262;1.37846406;0.125758914;10.9611638;5.87E-28;1.05E-26
YHR104W;14455.07235;1.325042083;0.122317018;10.83285147;2.41E-27;4.10E-26
YKL222C;610.9272852;1.279168058;0.118366161;10.80687293;3.19E-27;5.41E-26
YGR142W;13503.52211;1.431054223;0.13288971;10.7687361;4.84E-27;8.03E-26
YJL131C;1166.184455;1.136272785;0.105552306;10.76502093;5.04E-27;8.34E-26
YJL081C;1690.291795;1.22967671;0.114342051;10.7543699;5.65E-27;9.27E-26
YKL165C;3383.910908;1.424830728;0.133067248;10.70759896;9.38E-27;1.50E-25
YGL208W;2320.535816;1.002068277;0.093691669;10.69538294;1.07E-26;1.69E-25
YOR267C;8511.765727;1.05762942;0.100470027;10.52681537;6.50E-26;9.71E-25
YMR045C;2954.527903;1.024869198;0.097585978;10.50221784;8.44E-26;1.24E-24
YOR192C-B;1823.763707;1.52235379;0.14610855;10.41933403;2.02E-25;2.90E-24
YOR273C;7065.179706;1.019378557;0.097963454;10.40570254;2.34E-25;3.33E-24
YOL032W;3198.752989;1.206464167;0.116128139;10.38907689;2.78E-25;3.90E-24
YLR087C;1172.369959;1.022988315;0.098902704;10.34338062;4.48E-25;6.26E-24
YJL073W;1593.339779;1.282800809;0.124313197;10.31910397;5.78E-25;7.96E-24
YFL002W-A;9350.63009;1.423226054;0.139187167;10.22526781;1.53E-24;2.03E-23
