"feat","sample408.out","sample409.out","sample410.out","sample411.out","sample412.out","sample413.out","sample414.out","sample415.out","sample416.out","sample417.out","sample418.out","sample419.out"
"YAL069W",50,82,77,253,113,95,44,99,53,44,198,200
"YAL068W-A",15,8,7,25,15,10,11,9,2,4,27,11
"YAL068C",0,0,0,1,0,0,0,0,0,0,0,0
"YAL067W-A",1,7,8,2,7,7,2,1,2,4,2,4
"YAL067C",0,0,0,0,0,0,0,0,0,0,0,0
"YAL066W",0,0,0,0,0,0,0,0,0,0,0,0
"YAL065C",0,5,0,0,0,3,0,0,0,0,0,0
"YAL064W-B",0,0,0,0,0,0,0,0,0,0,0,0
"YAL064C-A",1,0,0,2,1,0,0,0,0,0,0,0
"YAL064W",9,18,12,11,13,12,14,15,16,16,5,6
"YAL063C-A",8,26,17,23,15,24,24,16,23,19,11,14
"YAL063C",167,267,190,229,343,265,276,259,299,335,250,201
"YAL062W",1289,1318,1456,2398,1842,1623,1505,1748,1420,1347,2372,2242
"YAL061W",2951,2998,3171,2914,4240,3050,3134,2666,3776,3379,2791,2732
"YAL060W",5565,7178,6370,3659,6623,5269,6984,4934,7768,7215,3896,3750
"YAL059C-A",0,0,0,0,0,0,0,0,0,0,0,0
"YAL059W",1023,1064,1026,1737,1026,1084,1000,1170,919,908,1767,1417
"YAL058W",813,794,797,674,933,817,817,744,874,821,742,669
"YAL056C-A",59,61,68,60,64,57,55,45,57,35,51,51
"YAL056W",2627,2854,2814,1980,2776,2677,3010,2575,3119,2714,1992,1855
"YAL055W",857,830,809,1126,874,836,752,774,827,763,1026,927
"YAL054C",13274,10327,13219,12610,7794,6899,7223,6001,6557,5720,11262,12597
"YAL053W",20457,17246,20438,18042,16203,15457,18156,13555,15859,13402,18704,17841
"YAL051W",1644,1675,1683,1448,1895,1873,2004,1800,2132,1790,1477,1470
"YAL049C",3677,4384,3900,2549,3147,2866,3240,2529,3590,3265,2636,2629
"YAL048C",1825,1702,1881,1426,1688,1602,1685,1257,1614,1468,1410,1475
"YAL047W-A",35,21,17,12,11,12,14,15,6,5,15,10
"YAL047C",1276,1194,1292,1003,1126,970,1002,944,1054,886,1152,1095
"YAL046C",525,543,565,627,453,405,363,357,411,378,616,586
"YAL045C",77,84,48,90,59,68,49,90,60,41,85,93
"YAL044W-A",303,372,289,299,292,212,268,181,268,264,282,306
"YAL044C",740,853,810,1625,914,735,629,728,641,581,1618,1534
"YAL043C",4565,4091,4760,4873,5326,5390,5258,4949,5240,4531,5135,4700
"YAL042C-A",263,200,232,248,304,340,274,291,239,251,251,263
"YAL042W",3146,3177,3580,3795,4115,3975,3945,3549,3912,3688,3828,3642
"YAL041W",2976,2780,3091,2228,2691,2793,2966,2672,2732,2489,2449,2248
"YAL040C",672,757,798,435,1210,990,929,858,1178,1174,528,506
"YAL039C",2363,2255,2675,2181,3010,2852,2842,2472,2500,2396,2397,2520
"YAL038W",44508,65686,47772,15126,87175,74084,105893,55642,104455,101130,15210,17161
"YAL037C-B",3950,8488,4742,3354,9742,7273,9433,7027,9888,10073,3202,2961
"YAL037C-A",2,6,1,3,14,1,5,5,0,8,3,3
"YAL037W",172,210,220,187,353,304,373,348,420,358,195,177
"YAL036C",852,807,865,780,893,854,920,907,844,759,1016,908
"YAL035W",2921,2975,2923,3252,2948,3011,2847,3115,2906,2439,3776,3344
"YAL034C-B",12,11,19,22,11,12,8,3,15,11,12,24
"YAL034W-A",225,253,258,228,197,149,192,179,146,134,234,192
"YAL034C",9718,9141,9830,6568,8157,7928,7812,6880,7557,7049,6514,6779
"YAL033W",184,217,223,248,209,210,181,195,154,154,258,247
"YAL032C",1739,1535,1745,1188,1504,1315,1524,1371,1409,1268,1262,1194
"YAL031W-A",90,98,109,61,52,75,103,61,101,74,50,65
"YAL031C",2867,2741,2851,1578,2390,2369,2716,2015,2755,2400,1607,1654
"YAL030W",1167,1367,1207,1138,1067,964,1142,945,1229,1174,1147,1022
"YAL029C",1580,1511,1498,1325,1619,1666,1740,1641,1759,1430,1386,1246
"YAL028W",1251,1134,1416,1086,1694,1628,1739,1630,1857,1621,1154,982
"YAL027W",277,326,310,247,316,294,304,245,311,299,217,228
"YAL026C-A",13,27,18,6,26,13,23,19,17,15,9,14
"YAL026C",949,946,913,613,779,809,859,695,835,887,749,630
"YAL025C",465,580,527,575,291,298,259,364,350,213,719,547
"YAL024C",165,207,166,117,113,152,124,97,158,128,120,101
"YAL023C",4270,4890,4375,2159,5563,5023,5141,4097,5920,5555,2177,2108
"YAL022C",458,574,474,306,619,620,557,486,594,580,317,238
"YAL021C",1078,1039,1148,782,1022,999,1042,922,1183,1066,788,763
"YAL020C",350,381,351,274,335,310,305,255,364,234,310,289
"YAL019W-A",72,93,91,55,42,57,100,72,67,70,54,55
"YAL019W",828,772,893,590,570,569,634,515,658,546,665,494
"YAL018C",171,153,186,264,217,158,116,143,87,93,191,209
"YAL017W",4488,4518,4658,2857,3829,3956,4497,3212,4495,3898,2554,2768
"YAL016C-B",2,9,2,2,0,6,0,0,1,0,2,1
"YAL016C-A",141,139,158,102,133,136,173,96,168,130,93,116
"YAL016W",4401,4442,4524,3065,4593,4220,5042,3689,5538,4767,3047,2883
"YAL015C",2214,2055,2198,2492,2352,2105,2111,2239,2075,1949,2654,2422
"YAL014C",1606,1683,1666,1710,1623,1477,1599,1383,1604,1517,1772,1670
"YAL013W",3931,3737,4285,4710,4269,4096,4343,3758,4139,3729,4557,4268
"YAL012W",8588,9748,9281,12858,7114,6838,7664,7666,8168,7443,13456,12399
"YAL011W",1716,1447,1730,1697,1936,1856,1932,1597,1774,1607,1729,1483
"YAL010C",903,829,796,798,871,889,890,701,943,869,772,762
"YAL009W",730,666,689,674,713,645,642,531,656,517,670,700
"YAL008W",1351,1515,1342,1447,1305,1101,1465,1131,1546,1393,1398,1371
"YAL007C",1519,1676,1391,1596,1694,1465,1414,1370,1520,1291,1652,1466
"YAL005C",38895,61416,46429,31284,35836,30483,45983,26370,46361,45971,40260,38460
"YAL004W",0,0,0,0,0,0,0,0,0,0,0,0
"YAL003W",2418,3199,2562,2587,3746,3050,3282,3099,3709,3447,2738,2594
"YAL002W",1022,1018,1051,843,1098,1161,1166,1164,1307,1170,837,753
"YAL001C",2495,2426,2656,3156,2948,2861,2371,2782,2625,2090,3036,2779
"YAR002W",1574,1714,1630,2181,1717,1745,1517,1796,1540,1328,2416,2061
"YAR002C-A",974,1250,1121,1088,1239,1095,1105,1017,1222,1122,965,948
"YAR003W",998,1118,1075,1016,1079,1134,1161,1150,1159,973,994,853
"YAR007C",2480,2699,2478,3076,2155,2188,2334,2188,2408,1986,3110,3081
"YAR008W",589,582,630,720,451,513,502,517,410,400,841,729
"YAR009C",6,0,2,0,0,0,0,2,6,0,2,2
"YAR010C",0,0,0,0,0,0,0,0,0,0,0,0
"YAR014C",1147,1134,1149,1073,1169,1175,1437,1211,1253,1041,1053,1069
"YAR015W",692,675,637,813,806,689,560,656,639,479,687,772
"YAR018C",331,342,312,325,370,322,348,354,392,362,351,322
"YAR019C",1880,1913,1879,1109,1801,1491,1839,1294,1731,1615,1141,1088
"YAR019W-A",50,44,41,28,18,20,10,15,20,20,29,40
"YAR020C",5,4,2,1,5,2,3,7,1,8,2,1
"YAR023C",189,267,273,243,235,237,175,219,259,210,246,245
"YAR027W",743,885,802,654,792,780,786,631,839,704,627,619
"YAR028W",0,0,0,0,0,0,0,0,0,0,0,0
"YAR029W",0,0,0,0,0,0,0,0,0,0,0,0
"YAR030C",0,0,0,0,0,0,0,0,0,0,0,0
"YAR031W",0,0,1,0,0,0,0,0,0,0,0,0
"YAR033W",0,0,0,0,0,0,0,0,0,0,0,0
"YAR035W",289,287,236,199,371,314,351,342,351,352,226,210
"YAR035C-A",1,0,0,0,0,0,0,1,1,0,0,1
"YAR042W",1100,1301,1250,606,1785,1476,1986,1262,1741,1810,684,777
"YAR047C",0,0,0,0,0,0,0,0,0,0,0,0
"YAR050W",264,342,263,235,394,356,382,366,358,328,231,213
"YAR053W",10,7,11,9,3,5,3,9,18,9,6,10
"YAR060C",7,4,4,1,5,2,6,2,8,7,4,2
"YAR061W",15,26,11,8,30,13,32,12,32,15,15,11
"YAR064W",0,0,0,0,0,0,0,0,0,0,0,0
"YAR066W",2,0,0,0,0,0,0,0,8,0,0,0
"YAR068W",188,186,167,116,243,187,181,154,168,177,133,151
"YAR069C",4,4,6,6,2,4,4,1,4,6,0,6
"YAR070C",0,0,0,0,0,0,0,0,0,0,0,0
"YAR071W",535,684,680,552,598,670,570,518,717,638,452,536
"YAR073W",6,3,10,5,4,7,4,3,4,6,6,4
"YAR075W",0,0,0,0,0,0,0,0,0,0,0,0
"YBL113C",451,516,463,325,560,473,531,399,635,559,415,405
"YBL113W-A",134,136,109,112,236,198,223,133,179,196,134,102
"YBL112C",6,7,3,7,6,6,11,6,3,5,5,10
"YBL111C",70,87,110,66,141,83,163,106,167,97,103,82
"YBL109W",88,105,81,84,115,90,80,64,87,81,102,118
"YBL108C-A",0,0,0,0,0,0,0,0,0,0,0,0
"YBL108W",58,60,59,25,79,69,64,79,89,106,16,17
"YBL107W-A",23,37,44,45,22,14,25,18,28,31,50,31
"YBL107C",699,1047,807,609,943,703,981,635,882,965,564,656
"YBL106C",598,703,572,628,609,552,563,477,610,478,558,590
"YBL105C",3061,3373,3120,1666,4076,3363,3984,2556,4189,3991,1623,1901
"YBL104C",1688,1617,1703,1112,1398,1375,1599,1223,1497,1200,1180,1126
"YBL103C",4148,3930,4435,2914,2140,2285,2584,2300,2453,2116,2888,2968
"YBL102W",1235,1396,1347,729,1072,970,1239,829,1318,1246,754,795
"YBL101C",7533,7041,7895,4468,6381,5705,6746,4874,6502,5735,4619,4543
"YBL100W-C",74,90,67,67,151,85,81,77,66,76,98,83
"YBL100W-A",4,23,14,7,2,5,14,10,7,12,3,8
"YBL100W-B",1032,1152,1028,503,1251,1082,1058,630,1169,965,540,584
"YBL100C",3076,3226,3222,2421,3359,2815,3698,2867,3867,3692,2331,2347
"YBL099W",20067,21660,20362,16757,22819,18867,22888,18700,24761,23494,16249,15704
"YBL098W",1948,2051,2063,2825,2388,2090,2195,1945,1944,1704,2769,2603
"YBL097W",1056,951,1082,1175,988,1086,978,981,1075,813,1229,917
"YBL096C",71,56,46,28,78,70,56,34,41,54,48,57
"YBL095W",1148,1215,1160,1131,1296,1214,1283,1066,1364,1082,1147,1024
"YBL094C",204,205,202,236,292,197,304,228,218,227,272,227
"YBL093C",4416,4433,4763,5813,5074,4671,4637,4494,4481,3802,5888,5474
"YBL092W",2652,4489,2692,4883,4218,3113,2968,3378,3140,3065,4761,3880
"YBL091C-A",1728,1871,1666,1021,2143,1725,1967,1580,2033,1923,1114,1010
"YBL091C",2667,3225,3009,2918,3795,3321,3714,3198,3886,3781,2906,2708
"YBL090W",1062,1267,1186,1423,1416,1241,1221,1280,1224,1142,1413,1332
"YBL089W",1214,1311,1219,910,1216,974,1166,1007,1259,1064,855,857
"YBL088C",1686,1870,1820,753,2098,1980,2111,1674,2462,2261,897,772
"YBL087C",795,1333,983,1414,1489,1333,1149,1269,1296,1252,1552,1299
"YBL086C",6782,7024,6800,4476,6197,6544,7103,6117,7090,6473,4823,4505
"YBL085W",3079,3160,3159,1787,2904,2772,3155,2549,3278,3054,1908,1752
"YBL084C",3402,3490,3336,2136,1945,2165,2672,2283,2626,2317,2177,2111
"YBL083C",71,95,82,89,63,90,117,64,82,93,63,70
"YBL082C",1249,1369,1339,923,1399,1237,1260,1094,1301,1171,1106,898
"YBL081W",904,950,1008,730,683,890,746,828,881,679,887,733
"YBL080C",2740,2607,3064,2288,2075,2028,2262,1876,2309,2103,2319,2190
"YBL079W",5299,4884,5365,4042,4890,5089,5393,4423,5288,4539,4158,3856
"YBL078C",7096,7510,6646,5172,4447,3962,4435,3600,4672,4416,4791,5542
"YBL077W",132,147,126,88,133,104,119,91,103,101,117,141
"YBL076C",5556,5525,6057,4477,4943,4671,4935,4285,5039,4314,4933,4300
"YBL075C",17614,22148,19771,16650,16681,13690,15226,9715,14160,13107,16360,19991
"YBL074C",1329,1190,1424,966,1322,1280,1305,1064,1343,1075,1060,972
"YBL073W",55,45,58,47,69,67,49,69,50,55,66,45
"YBL072C",4434,6019,4810,7935,6256,4983,4649,5385,5484,5059,8288,7218
"YBL071C-B",118,99,115,201,201,172,144,153,136,133,240,194
"YBL071W-A",847,827,840,1289,1119,1161,1088,1008,865,800,1426,1224
"YBL071C",433,444,449,765,641,499,497,538,410,450,729,626
"YBL070C",140,135,177,202,231,189,209,208,164,122,243,234
"YBL069W",2344,2628,2661,2616,3088,2567,2941,2755,2983,2753,3295,2878
"YBL068W-A",58,78,36,146,61,78,100,110,72,47,98,68
"YBL068W",887,974,955,1211,866,731,781,883,785,780,1336,1354
"YBL067C",1811,1819,1729,1089,1425,1359,1678,1395,1742,1591,1128,1061
"YBL066C",6010,5638,6228,4579,6670,6229,6073,5118,6238,5227,4932,4671
"YBL065W",77,82,94,55,104,74,86,59,74,74,70,66
"YBL064C",23833,26209,24687,16947,21204,19529,23824,17966,24673,22964,17370,17416
"YBL063W",1759,1662,1550,1692,1871,1750,1639,1623,1436,1165,1801,1682
"YBL062W",0,0,0,15,19,50,52,43,5,25,4,0
"YBL061C",5032,5038,5265,3840,5109,4747,4939,3832,4691,3970,3781,3772
"YBL060W",2703,2527,2859,3014,2613,2575,2615,2541,2473,2132,3026,2734
"YBL059C-A",1370,1586,1325,1700,1284,1087,1164,1035,1167,1092,1525,1587
"YBL059W",1121,1268,1183,1496,1108,968,961,1061,937,845,1546,1445
"YBL058W",16943,17285,17768,13847,15850,14666,15073,13223,16208,14541,14081,14307
"YBL057C",2997,2991,3129,3469,3141,2857,2516,2821,2682,2282,3663,3231
"YBL056W",11248,11406,11541,9139,10477,9700,10313,8504,11110,9780,9222,9030
"YBL055C",2680,2597,2736,2184,2481,2190,2406,2152,2253,1965,2444,2331
"YBL054W",3086,2794,3149,2845,2358,2242,2436,2205,2193,1863,3020,3039
"YBL053W",59,87,79,56,74,38,68,78,75,63,45,35
"YBL052C",1357,1363,1515,1254,1135,1276,1212,1252,1340,1088,1260,1188
"YBL051C",10902,10516,11759,8833,11289,10635,11100,9370,11225,9816,9748,9188
"YBL050W",11756,12247,11779,12733,8848,8000,8461,8336,8766,7605,13217,12891
"YBL049W",3517,4322,3522,2177,3870,3152,4091,2679,4359,3952,2216,2319
"YBL048W",357,437,401,366,403,301,465,351,439,424,255,267
"YBL047C",17186,16105,16910,8514,14573,14411,17633,11464,17582,15623,9074,9029
"YBL046W",4251,3794,4379,3264,3519,3510,3795,3326,3801,3251,3583,3190
"YBL045C",23355,23796,24487,22300,24229,21219,21934,21182,21981,19683,23202,22695
"YBL044W",352,466,464,766,653,535,446,630,446,377,905,780
"YBL043W",2739,3763,2934,3376,3083,2358,3247,3014,3051,3425,3043,3373
"YBL042C",1045,971,1131,1348,1488,1223,1179,1397,877,775,1393,1347
"YBL041W",7338,8237,8004,9484,7603,6996,7236,7020,6961,6423,9912,9439
"YBL040C",3678,3851,3822,4361,3514,3441,3215,3306,3486,3139,4424,4111
"YBL039W-B",666,691,620,782,599,524,529,562,621,498,769,775
"YBL039C",3479,3581,3951,7105,6217,5889,5543,6354,5357,4889,8416,6269
"YBL039C-A",0,0,0,0,0,0,0,0,0,0,0,0
"YBL038W",7922,7847,8445,9352,7847,7453,7138,6985,7188,6436,8994,8352
