target_id	length	eff_length	est_counts	tpm
YAL069W	315	80.8464	97.9001	21.0293
YAL068W-A	255	51.098	3.89838	1.3249
YAL068C	363	110.864	0	0
YAL067W-A	228	41.5715	10.0471	4.19706
YAL067C	1782	1497.33	0	0
YAL066W	309	77.2207	0	0
YAL065C	387	127.951	0	0
YAL064W-B	381	123.528	1	0.140584
YAL064C-A	381	123.528	0	0
YAL064W	285	64.3421	9	2.42912
YAL063C-A	291	67.7795	11	2.81836
YAL063C	3969	3690.17	127.845	0.601646
YAL062W	1374	1080.25	2316	37.2319
YAL061W	1254	958.596	2785	50.4535
YAL060W	1149	853.617	3868	78.6911
YAL059C-A	423	155.277	151.053	16.8937
YAL059W	639	351.637	1616.95	79.8552
YAL058W	1509	1210.57	743.184	10.6613
YAL056C-A	351	103.152	54.8156	9.22846
YAL056W	2643	2368.17	1993	14.6149
YAL055W	543	261.229	1028	68.3398
YAL054C	2142	1846.13	11257	105.892
YAL053W	2352	2072.09	18703	156.749
YAL051W	3144	2878.43	1477	8.91102
YAL049C	741	453.236	2641	101.192
YAL048C	1989	1708.48	1411.79	14.3503
YAL047W-A	330	89.6847	15.2142	2.94601
YAL047C	1869	1591	1154	12.5962
YAL046C	357	106.921	619	100.538
YAL045C	309	77.2207	76.1504	17.1254
YAL044W-A	333	91.4911	314.85	59.7621
YAL044C	513	232.871	1623	121.034
YAL043C	2358	2068.88	5138	43.1281
YAL042C-A	378	121.31	194.452	27.8367
YAL042W	1248	949.966	3958.55	72.3652
YAL041W	2565	2294.26	2450	18.5449
YAL040C	1743	1458.51	534	6.3582
YAL039C	810	510.313	2397	81.5706
YAL038W	1503	1201.08	15392.2	222.552
YAL037C-B	975	678.093	3014.77	77.2089
YAL037C-A	93	40.7129	5	2.13275
YAL037W	804	521.983	194	6.45427
YAL036C	1110	816.474	1016	21.6099
YAL035W	3009	2721.14	3777	24.1045
YAL034C-B	354	104.927	12	1.98607
YAL034W-A	870	589.555	235	6.92222
YAL034C	1242	952.758	6514	118.732
YAL033W	522	241.44	257	18.4853
YAL032C	1140	846.717	1262	25.8835
YAL031W-A	309	77.2207	46.3846	10.4314
YAL031C	2283	2004.33	1624.62	14.0761
YAL030W	354	104.927	1147	189.835
YAL029C	4416	4168.81	1384	5.76535
YAL028W	1587	1295.93	1156	15.4909
YAL027W	786	499.054	220	7.65556
YAL026C-A	438	167.366	13.4432	1.39488
YAL026C	4068	3811.6	754.557	3.43785
YAL025C	921	634.61	720	19.7028
YAL024C	4308	4062.36	120	0.512985
YAL023C	2280	1996.43	2177	18.9368
YAL022C	1554	1274.01	317	4.32103
YAL021C	2514	2222.94	757	5.91384
YAL020C	1002	710.168	314.866	7.69957
YAL019W-A	570	286.982	48.1339	2.91272
YAL019W	3396	3130.31	665	3.68923
YAL018C	978	692.323	191	4.791
YAL017W	4071	3797.99	2510	11.4768
YAL016C-B	186	32.9682	2	1.0535
YAL016C-A	315	80.8464	100.389	21.5638
YAL016W	1908	1638.34	3075.61	32.6009
YAL015C	1200	906.812	2610	49.9833
YAL014C	768	478.732	1767	64.0982
YAL013W	1218	921.119	4554	85.8577
YAL012W	1185	888.591	13457	262.996
YAL011W	1878	1598.91	1728	18.7681
YAL010C	1482	1206.58	777	11.1832
YAL009W	780	502.699	671	23.1802
YAL008W	597	309.924	1403	78.6147
YAL007C	648	362.879	1648	78.8674
YAL005C	1929	1626.6	40333	430.609
YAL004W	648	363.75	0	0
YAL003W	621	326.214	2736	145.652
YAL002W	3825	3587.34	838	4.05671
YAL001C	3483	3225.64	3043	16.3828
YAR002W	1620	1338.83	2412	31.2862
YAR002C-A	660	372.438	966	45.0428
YAR003W	1281	997.862	994	17.2989
YAR007C	1866	1582.27	3110	34.1336
YAR008W	828	545.753	841	26.761
YAR009C	3591	3334.35	1.79598	0.00935391
YAR010C	1323	1039.06	0	0
YAR014C	2130	1839.89	1053	9.93892
YAR015W	921	633.965	693	18.9832
YAR018C	1308	1026.75	351	5.93672
YAR019C	2925	2655.93	1155	7.5521
YAR019W-A	333	91.4911	32	6.07398
YAR020C	168	30.0226	3	1.7353
YAR023C	540	258.347	256	17.2083
YAR027W	708	421.615	973	40.0774
YAR028W	705	420.463	0	0
YAR029W	225	40.5861	0	0
YAR030C	342	97.0144	0	0
YAR031W	897	607.084	436	12.4721
YAR033W	705	420.463	0	0
YAR035W	2064	1744.85	226	2.24933
YAR035C-A	81	38.8846	0	0
YAR042W	3567	3266.08	684	3.6369
YAR047C	321	84.4295	0	0
