target_id	length	eff_length	est_counts	tpm
AAK85826.1	822	580.561	300	58.3175
AAK85827.2	600	409.341	98	27.0188
AAK85828.2	861	582.361	128	24.8053
AAK85829.2	582	345.643	333	108.728
AAK85830.1	699	426.609	218	57.6703
AAK85831.1	483	252.745	458	204.507
AAK85832.1	537	305.994	182	67.125
AAK85833.2	654	438.627	477	122.729
AAK85834.1	1113	878.82	1008	129.445
AAK85835.1	570	364.42	771	238.769
AAK85836.1	366	181.303	316	196.701
AAK85837.2	2436	2186.12	1813	93.5942
AAK85838.1	603	391.665	279	80.3923
AAK85839.1	843	620.225	743	135.196
AAK85840.2	1197	991.397	767	87.3119
AAK85841.1	768	601.972	368	68.9917
AAK85842.1	663	435.704	549	142.202
AAK85843.2	1221	952.057	485	57.4916
AAK85844.2	840	585.565	1269	244.575
AAK85845.1	897	671.608	666	111.914
AAK85846.1	1344	1067.42	339	35.8419
AAK85847.2	321	142.969	159	125.511
AAK85848.2	3558	3265.73	489	16.8987
AAK85849.1	3186	2934.86	608	23.3798
AAK85850.2	738	486.338	135	31.3272
AAK85851.1	1512	1330.04	894	75.8577
AAK85852.1	2646	2466.02	1321	60.4549
AAL41059.2	168	44.5303	36	91.2374
AAK85853.1	1401	1258.23	4322	387.66
AAK85854.1	276	108.773	304	315.411
AAK85855.1	402	236.782	497	236.882
AAK85856.1	465	297.583	85	32.2356
AAK85857.1	1791	1483	734	55.8574
AAK85858.2	726	539.946	575	120.183
AAK85859.2	1611	1341.52	366	30.7899
AAK85860.2	435	240.932	42	19.6735
AAK85861.2	969	697.281	357	57.7812
AAK85862.2	324	145.388	226	175.431
AAK85863.1	777	538.891	179	37.4868
AAK85864.1	744	534.363	135	28.5117
AAK85865.2	651	414.177	158	43.0524
AAK85866.1	495	277.54	49	19.9249
AAK85867.2	597	386.722	119	34.7276
AAK85868.2	483	282.801	542	216.294
AAK85869.1	1308	1028.16	1455	159.708
AAK85870.1	966	852.399	116	15.3582
AAK85871.1	2235	1957.68	2759	159.051
AAK85872.2	714	459.326	638	156.756
AAK85873.2	486	271.061	210	87.4336
AAK85874.1	588	377.267	236	70.5973
AAK85875.2	1308	1113.73	152	15.4024
AAK85876.2	2487	2244.49	295	14.833
AAL41084.1	390	202.762	5211.87	2900.9
AAL41085.1	258	96.3051	163.323	191.392
AAK85881.1	1809	1576.33	298	21.3351
AAK85882.1	1233	958.178	552	65.0157
AAK85883.1	1023	708.159	11605	1849.44
AAK85884.2	1083	908.987	2563	318.212
AAK85885.1	783	573.41	508	99.9825
AAK85886.1	630	390.397	132	38.1587
AAK85887.2	222	72.9592	332	513.551
AAK85888.1	399	211.036	638	341.184
AAK85889.2	2082	1922.06	3019	177.265
AAK85890.2	975	824.112	1049	143.653
AAK85891.1	1236	1080.37	360	37.6059
AAK85892.2	1128	846.921	313	41.7087
AAK85893.2	762	560.362	310	62.4336
AAK85894.1	477	320.721	161	56.6532
AAK85895.1	690	525.431	193	41.4541
AAK85896.1	1005	801.145	123	17.3269
AAK85898.2	540	299.715	735	276.76
AAK85899.1	993	675.611	351	58.6322
AAK85901.1	945	739.11	45	6.87115
AAK85902.2	1017	744.903	151	22.8772
AAK85903.1	2142	1803.69	1507	94.2923
AAK85904.1	270	104.58	2561	2763.68
AAK85905.1	948	683.71	184	30.3719
AAK85906.1	417	227.411	106	52.6041
AAK85907.1	2742	2379.91	2208	104.704
AAK85908.1	702	504.896	1832	409.495
AAK85909.1	1617	1266.67	1464	130.437
AAK85910.1	597	397.038	1571	446.55
AAK85911.2	1512	1314.37	371	31.8554
AAK85912.1	1266	1053.21	315	33.7538
AAK85913.1	606	385.436	164	48.0194
AAK85914.2	615	433.994	77	20.0231
AAK85915.1	324	145.388	545	423.053
AAK85916.1	1875	1556.99	588	42.6204
AAK85917.2	405	226.496	305	151.972
AAK85918.1	963	835.477	656	88.6125
AAK85919.1	864	643.429	244	42.7972
AAK85920.1	756	527.01	47	10.0648
AAK85921.1	579	412.908	1809	494.437
AAK85922.2	726	532.668	495	104.876
AAK85923.1	2295	2090.7	1251	67.5291
AAK85924.1	459	231.131	163	79.5895
AAL41130.1	195	57.8726	355	692.278
AAK85925.2	210	66.0408	989	1690.09
AAK85926.2	162	41.7936	3595	9707.66
AAK85928.2	1392	1137.68	985	97.7105
AAK85929.2	447	214.708	187	98.2922
AAK85930.1	411	225.032	466	233.705
AAK85931.2	2997	2908.54	1317	51.1018
AAK85932.1	720	540.872	161	33.5937
AAK85933.2	186	53.3175	172	364.069
AAK85934.2	1869	1800.83	556	34.844
AAK85935.2	1347	1148.93	319	31.3346
AAL41140.1	204	62.9586	36	64.5317
AAK85936.2	411	238.538	72	34.0644
AAK85937.1	462	262.997	1	0.429116
AAK85938.1	1506	1278.25	145	12.802
AAK85939.2	213	67.8377	29	48.245
AAK85940.1	552	319.855	20	7.05671
AAK85941.1	1134	875.612	2730	351.865
AAK85942.1	1902	1570.41	5524	396.977
AAK85944.2	318	140.496	350	281.145
AAK85945.2	651	442.784	1889	481.466
AAK85947.2	993	796.765	4131	585.128
AAK85948.2	1506	1227.52	988	90.8351
AAK85949.1	1104	908.861	231	28.684
AAK85950.1	972	793.908	198	28.1462
AAK85951.2	405	201.108	285	159.934
AAK85952.1	801	563.32	313	62.7068
AAK85953.2	774	525.66	391	83.9455
AAK85954.1	1317	1104.19	210	21.4635
AAK85955.2	537	293.548	222	85.3493
AAK85956.1	630	387.877	156	45.3896
AAK85957.1	978	754.101	392	58.6654
AAK85958.1	1221	1005.75	205	23.0033
AAK85959.2	831	643.613	146	25.6008
AAK85960.2	393	208.207	274	148.519
AAK85961.1	627	425.171	738	195.893
AAK85962.1	2004	1852.93	913	55.6081
AAK85963.2	999	780.775	876	126.62
AAK85964.1	1323	1110.21	381	38.7297
AAL41168.1	222	72.9592	271	419.194
AAK85965.2	5349	5171.47	727	15.8652
AAK85966.1	1770	1637.88	549	37.8283
AAK85967.2	507	374.861	233	70.1473
AAK85968.2	597	366.482	359	110.552
AAK85969.2	807	562.315	442	88.7092
AAK85970.2	1224	950.799	579	68.7251
AAK85972.2	516	341.279	916	302.908
AAK85973.2	258	96.3051	179	209.763
AAK85974.2	420	211.936	1843	981.399
AAK85975.2	639	453.533	349	86.8446
AAK85976.1	519	377.414	370	110.639
AAK85977.2	711	539.254	97	20.3004
AAK85978.1	1002	720.986	1795	280.972
AAK85979.1	774	537.785	79	16.5785
AAK85980.2	786	594.805	329	62.4233
AAK85981.1	738	546.618	53	10.9425
AAK85982.1	1023	817.054	1002	138.402
AAK85983.1	504	277.22	1149	467.758
AAK85984.1	924	652.319	3667	634.419
AAK85985.2	990	809.186	749	104.462
AAL41189.1	246	88.3845	105	134.072
AAL41190.1	255	94.3952	75	89.6679
AAK85986.1	1041	887.643	209	26.5726
AAK85987.2	552	344.05	163	53.4678
AAK85988.1	1137	817.177	290	40.0505
AAK85989.2	690	453.862	94	23.3738
AAK85991.1	1350	1100.56	60	6.15269
AAK85992.2	987	765.363	35	5.16091
AAK85993.1	906	737.91	16	2.44705
AAK85994.2	861	695.606	15	2.43362
AAK85995.1	618	393.386	13	3.72949
AAK85996.2	708	517.101	8	1.74598
AAK85997.2	777	553.01	42	8.57121
AAK85998.1	903	681.119	30	4.97078
AAK85999.1	1110	883.788	91	11.6203
AAK86000.1	612	349.084	31	10.0221
AAK86001.1	462	240.384	25	11.7371
AAK86002.1	738	582.023	138	26.7587
AAK86003.2	828	619.93	157	28.5813
AAK86004.2	1023	759.955	260	38.611
AAK86005.1	384	222.24	136	69.0625
AAK86006.1	1056	917.617	1006	123.726
AAK86007.1	1845	1589.72	596	42.3108
AAK86008.1	1095	843.539	170	22.7441
AAK86009.2	1146	941.85	196	23.4855
AAK86010.2	1641	1519.74	1012	75.1513
AAK86012.1	1359	1179.72	712	68.1125
AAK86013.1	1329	1043.39	819	88.5855
AAK86014.1	492	297.88	772	292.483
AAK86015.2	741	571.91	704	138.922
AAK86016.1	939	666.77	354	59.9174
AAK86017.2	1146	907.951	868	107.89
AAK86018.1	912	693.455	6058	985.908
AAK86019.2	1047	875.862	57	7.34455
AAK86020.1	471	270.423	808	337.205
AAK86021.2	1065	868.518	684	88.8797
AAK86022.2	918	788.508	209	29.9134
AAK86023.1	1104	976.292	606	70.0516
AAK86024.1	1557	1311.6	771	66.3403
AAL41229.1	318	140.496	94	75.5076
AAK86025.1	882	683.526	131	21.6293
AAK86026.2	837	710.454	91	14.4554
AAK86027.1	1107	829.057	175	23.8221
AAK86028.2	345	163.04	205	141.901
AAK86029.1	852	625.673	989	178.392
AAK86030.2	360	176.081	115	73.7075
AAK86031.2	1305	1137.06	3305	328.031
AAK86032.1	1395	1193.94	794	75.0519
AAK86033.2	825	730.673	565	87.2672
AAK86034.1	987	787.154	469	67.2417
AAK86035.1	1005	871.999	1408	182.227
AAK86036.2	1476	1175.88	1510	144.924
AAK86037.2	1284	1097.74	1658	170.456
AAK86038.2	582	394.594	642	183.616
AAK86039.1	1584	1387.05	2197	178.758
AAK86040.1	807	561.404	1144	229.973
AAK86041.1	513	341.986	609	200.972
AAK86042.2	192	56.318	856	1715.35
AAL41248.1	255	94.3952	515	615.72
AAK86043.2	384	197.435	1206	689.364
AAK86045.1	306	130.784	213	183.802
AAK86046.2	450	219.911	141	72.36
