Protein_id,Gene_id,Gene_name,Protein,Chromosome,Location
AAK85826.1,Atu0001,no name,conserved hypothetical protein,AE007869.2,203-1024
AAK85827.2,Atu0002,maf,putative inhibitor of septum formation,AE007869.2,1056-1655
AAK85828.2,Atu0003,aroE,shikimate 5-dehydrogenase,AE007869.2,1648-2508
AAK85829.2,Atu0004,coaE,dephospho-CoA kinase,AE007869.2,2508-3089
AAK85830.1,Atu0005,dnaQ,"DNA polymerase III, epsilon chain",AE007869.2,3110-3808
AAK85831.1,Atu0006,secB,protein-export protein SECB,AE007869.2,complement(3907-4389)
AAK85832.1,Atu0007,fxsA,conserved hypothetical protein,AE007869.2,complement(4493-5029)
AAK85833.2,Atu0008,no name,conserved hypothetical protein,AE007869.2,5215-5868
AAK85834.1,Atu0009,mltA,membrane-bound lytic murein transglycosylase,AE007869.2,5865-6977
AAK85835.1,Atu0010,no name,conserved hypothetical protein,AE007869.2,6974-7543
AAK85836.1,Atu0011,no name,transcriptional regulator,AE007869.2,7540-7905
AAK85837.2,Atu0012,gyrB,DNA gyrase subunit B,AE007869.2,8064-10499
AAK85838.1,Atu0013,no name,NAD(P)H-flavin oxidoreductase,AE007869.2,complement(10604-11206)
AAK85839.1,Atu0014,hpcE,"2-hydroxyhepta-2,4-diene-1,7-dioate isomerase",AE007869.2,11335-12177
AAK85840.2,Atu0015,depA,intracellular PHB depolymerase,AE007869.2,12339-13535
AAK85841.1,Atu0016,no name,conserved hypothetical protein,AE007869.2,13605-14372
AAK85842.1,Atu0017,trpF,N-(5-phosphoribosyl) anthranilate isomerase,AE007869.2,14475-15137
AAK85843.2,Atu0018,trpB,tryptophan synthase beta subunit,AE007869.2,15139-16359
AAK85844.2,Atu0019,trpA,tryptophan synthase alpha subunit,AE007869.2,16364-17203
AAK85845.1,Atu0020,accD,"acetyl-coenzyme A carboxyl transferase, beta subunit",AE007869.2,17231-18127
AAK85846.1,Atu0021,folC,folylpolyglutamate synthase,AE007869.2,18250-19593
AAK85847.2,Atu0022,trxA,thioredoxin,AE007869.2,complement(19641-19961)
AAK85848.2,Atu0023,uvrD,ATP-dependant DNA helicase,AE007869.2,complement(20039-23596)
AAK85849.1,Atu0024,no name,conserved hypothetical protein,AE007869.2,complement(23586-26771)
AAK85850.2,Atu0025,no name,conserved hypothetical protein,AE007869.2,complement(26768-27505)
AAK85851.1,Atu0026,no name,conserved hypothetical protein,AE007869.2,complement(27520-29031)
AAK85852.1,Atu0027,no name,two component sensor kinase,AE007869.2,complement(29028-31673)
AAL41059.2,Atu0028,no name,hypothetical protein,AE007869.2,complement(31670-31837)
AAK85853.1,Atu0029,ahcY,S-adenosylhomocysteine hydrolase,AE007869.2,complement(31882-33282)
AAK85854.1,Atu0030,ptsH,phosphocarrier protein HPr,AE007869.2,complement(33411-33686)
